,name,salary_from,salary_to,salary_currency,area_name,published_at
1257,Программист 1С,138000.0,,RUR,Челябинск,2022-12-26T08:41:11+0300
1258,Начальник отдела технических систем и средств транспортной безопасности,65000.0,,RUR,Хабаровск,2022-12-26T08:18:48+0300
1259,Продакт-менеджер,100000.0,140000.0,RUR,Москва,2022-12-26T08:54:21+0300
1260,Ведущий инженер по внедрению,70000.0,,RUR,Хабаровск,2022-12-26T08:18:48+0300
1261,PHP-разработчик (Middle+/Senior backend developer),,,,Новосибирск,2022-12-26T08:23:00+0300
1262,"Программист 1С: ERP (г. Павловск, Воронежская обл.)",,,,Воронеж,2022-12-26T08:47:33+0300
1263,Программист-разработчик 1C,,,,Санкт-Петербург,2022-12-26T08:28:29+0300
1264,Программист 1С,138000.0,,RUR,Пермь,2022-12-26T08:41:11+0300
1265,Программист 1С,138000.0,,RUR,Ярославль,2022-12-26T08:41:10+0300
1266,Программист 1С,138000.0,,RUR,Набережные Челны,2022-12-26T08:09:48+0300
1267,Программист 1С,138000.0,,RUR,Омск,2022-12-26T08:10:39+0300
1268,Программист 1С,138000.0,,RUR,Воронеж,2022-12-26T08:41:11+0300
1269,Системный аналитик по 1С УНФ,,,,Краснодар,2022-12-26T08:44:09+0300
1270,Программист 1С,138000.0,,RUR,Самара,2022-12-26T08:10:01+0300
1271,Программист 1С,138000.0,,RUR,Ульяновск,2022-12-26T08:10:30+0300
1272,Программист 1С,138000.0,,RUR,Екатеринбург,2022-12-26T08:10:08+0300
1273,Главный инженер / Технический директор,70000.0,,RUR,Пермь,2022-12-26T08:37:05+0300
1274,Бизнес-аналитик по автоматизации планирования запасов/ консультант SAP SCM (APO SPP),,,,Минск,2022-12-26T08:40:09+0300
1275,Разработчик python (Senior/Lead),,,,Санкт-Петербург,2022-12-26T08:11:42+0300
1276,Программист 1С,138000.0,,RUR,Уфа,2022-12-26T08:10:16+0300
1277,Программист 1С,138000.0,,RUR,Ижевск,2022-12-26T08:41:10+0300
1278,Спикер профессии по Кибербезопасности,,,,Москва,2022-12-26T08:54:51+0300
1279,Программист 1С,138000.0,,RUR,Тюмень,2022-12-26T08:10:20+0300
1280,Программист 1С,138000.0,,RUR,Волгоград,2022-12-26T08:41:10+0300
1281,Программист 1С,138000.0,,RUR,Оренбург,2022-12-26T08:41:10+0300
1282,Программист 1С,138000.0,,RUR,Краснодар,2022-12-26T08:09:57+0300
1283,Программист 1С,138000.0,,RUR,Калининград,2022-12-26T08:10:04+0300
1284,Программист 1С,138000.0,,RUR,Ростов-на-Дону,2022-12-26T08:09:55+0300
1285,Программист 1С,138000.0,,RUR,Тула,2022-12-26T08:41:10+0300
1286,Ведущий инженер-программист (системы управления),125000.0,,RUR,Москва,2022-12-26T08:39:29+0300
1287,Программист 1С,138000.0,,RUR,Томск,2022-12-26T08:41:10+0300
1288,Системный администратор,,,,Жлобин,2022-12-26T09:08:16+0300
1289,Инженер по ручному тестированию (QA manual - Специалист),,,,Екатеринбург,2022-12-26T09:06:57+0300
1290,Технический директор,420000.0,,RUR,Москва,2022-12-26T09:57:06+0300
1291,SMM-специалист / оформитель,28000.0,,RUR,Альметьевск,2022-12-26T09:27:18+0300
1292,IT Директор,520000.0,,RUR,Москва,2022-12-26T09:57:06+0300
1293,Head of RnD,,,,Москва,2022-12-26T09:37:36+0300
1294,Программист,,,,Владивосток,2022-12-26T09:47:32+0300
1295,Специалист технической поддержки CRM-системы,100000.0,150000.0,RUR,Москва,2022-12-26T09:36:09+0300
1296,UI/UX дизайнер (Junior),,,,Саранск,2022-12-26T09:43:34+0300
1297,SMM-специалист / оформитель,28000.0,,RUR,Лениногорск,2022-12-26T09:27:18+0300
1298,Data Analyst (Game),,,,Минск,2022-12-26T09:15:12+0300
1299,Администратор IT проектов/программы,,300000.0,RUR,Москва,2022-12-26T09:18:14+0300
1300,Системный администратор,15000.0,,RUR,Липецк,2022-12-26T09:47:20+0300
1301,Системный администратор,,,,Махачкала,2022-12-26T09:45:44+0300
1302,Junior Python разработчик (Django) в офис в Краснодаре,60000.0,,RUR,Краснодар,2022-12-26T09:10:59+0300
1303,Специалист технической поддержки,80000.0,,RUR,Москва,2022-12-26T09:50:33+0300
1304,Инженер по безопасности дорожного движения,100000.0,120000.0,RUR,Самара,2022-12-26T09:55:16+0300
1305,РНР developer/стажёр/intern,,,,Минск,2022-12-26T09:44:43+0300
1306,SMM-специалист / оформитель,28000.0,,RUR,Набережные Челны,2022-12-26T09:27:18+0300
1307,Графический дизайнер,,,,Ростов-на-Дону,2022-12-26T09:31:20+0300
1308,Графический дизайнер (Ассистент в отдел маркетинга),65000.0,,RUR,Москва,2022-12-26T09:37:59+0300
1309,Web тестировщик,,50000.0,RUR,Новосибирск,2022-12-26T09:57:28+0300
1310,Инженер клиентской технической поддержки Windows,,,,Москва,2022-12-26T09:21:42+0300
1311,Администратор проекта,,,,Ташкент,2022-12-26T09:13:01+0300
1312,Главный механик,45000.0,,RUR,Барнаул,2022-12-26T09:18:38+0300
1313,Инженер по безопасности дорожного движения,100000.0,120000.0,RUR,Пенза,2022-12-26T09:55:16+0300
1314,Junior Pentest,,,,Москва,2022-12-26T09:48:15+0300
1315,"Frontend-разработчик (JS, Vue.js)",,,,Астана,2022-12-26T09:14:37+0300
1316,Тестировщик ПО,40000.0,75000.0,RUR,Рыбинск,2022-12-26T09:53:14+0300
1317,SMM-специалист / оформитель,28000.0,,RUR,Азнакаево,2022-12-26T09:27:18+0300
1318,Менеджер проектов,50000.0,100000.0,RUR,Новокуйбышевск,2022-12-26T09:59:28+0300
1319,Помощник системного администратора,40000.0,,RUR,Санкт-Петербург,2022-12-26T09:02:13+0300
1320,Junior Java Developer (практикант Java 8/Spring),,,,Минск,2022-12-26T09:24:16+0300
1321,Механик по выпуску автотранспорта (подработка),20500.0,,RUR,Уфа,2022-12-26T09:24:22+0300
1322,Наладчик оборудования в производстве пищевой продукции,,,,Санкт-Петербург,2022-12-26T09:33:13+0300
1323,SMM-специалист / оформитель,28000.0,,RUR,Нижнекамск,2022-12-26T09:27:18+0300
1324,Системный администратор,50000.0,60000.0,RUR,Ростов-на-Дону,2022-12-26T09:19:31+0300
1325,Начальник отдела IT-сопровождения,138000.0,138000.0,RUR,Москва,2022-12-26T09:39:38+0300
1326,Программист-разработчик,100000.0,500000.0,RUR,Москва,2022-12-26T09:48:47+0300
1327,Разработчик JAVA,,,,Санкт-Петербург,2022-12-26T09:54:09+0300
1328,Java developer,,,,Москва,2022-12-26T09:46:15+0300
1329,Механик,300000.0,,KZT,Астана,2022-12-26T09:20:55+0300
1330,Наладчик оборудования в производстве пищевой продукции,,,,Дербент,2022-12-26T09:33:13+0300
1331,Backend разработчик,,50000.0,RUR,Новосибирск,2022-12-26T09:16:57+0300
1332,Токарь,100000.0,130000.0,RUR,Москва,2022-12-26T09:35:21+0300
1333,SMM-специалист / оформитель,28000.0,,RUR,Бавлы,2022-12-26T09:27:18+0300
1334,Специалист 1С (можно без опыта),30000.0,60000.0,RUR,Краснодар,2022-12-26T09:22:37+0300
1335,SMM-специалист / оформитель,28000.0,,RUR,Казань,2022-12-26T09:27:18+0300
1336,Frontend-разработчик в SberDevices,,,,Екатеринбург,2022-12-26T09:11:29+0300
1337,Менеджер проектов,50000.0,100000.0,RUR,Самара,2022-12-26T09:59:28+0300
1338,Frontend developer,,,,Новосибирск,2022-12-26T09:10:24+0300
1339,Мастер (механик),50000.0,,RUR,Чебоксары,2022-12-26T09:41:55+0300
1340,Инженер по безопасности дорожного движения,100000.0,120000.0,RUR,Оренбург,2022-12-26T09:55:16+0300
1341,Технический директор (машиностроение),110000.0,170000.0,RUR,Москва,2022-12-26T09:16:50+0300
1342,Ведущий специалист по аналитике,,,,Брест,2022-12-26T09:54:03+0300
1343,Специалист технической поддержки,,,,Екатеринбург,2022-12-26T09:48:52+0300
1344,Инженер по безопасности дорожного движения,100000.0,120000.0,RUR,Саратов,2022-12-26T09:55:16+0300
1345,Графический дизайнер с опытом работы в дизайне одежды,60000.0,90000.0,RUR,Москва,2022-12-26T09:58:45+0300
1346,Аналитик,,,,Москва,2022-12-26T09:56:26+0300
1347,Backend разработчик,,50000.0,RUR,Москва,2022-12-26T09:16:57+0300
1348,Системный администратор,,,,Воронеж,2022-12-26T09:29:56+0300
1349,Frontend разработчик (React.js),,,,Саранск,2022-12-26T09:42:51+0300
1350,Начальник отдела развития производственной функциональности 1С,,,,Москва,2022-12-26T09:43:01+0300
1351,Системный администратор,100000.0,100000.0,RUR,Москва,2022-12-26T09:54:36+0300
1352,Учетчик,40000.0,50000.0,RUR,Москва,2022-12-26T09:56:37+0300
1353,Frontend-разработчик,,,,Москва,2022-12-26T09:35:48+0300
1354,Техник обработки информации,,42000.0,RUR,Москва,2022-12-26T09:09:00+0300
1355,Региональный директор,2000.0,,USD,Ташкент,2022-12-26T09:45:10+0300
1356,Системный аналитик Yandex Cloud,,,,Москва,2022-12-26T09:50:17+0300
1357,Слесарь-сборщик РЭА и приборов,45000.0,,RUR,Рязань,2022-12-26T09:50:20+0300
1358,Копирайтер,,,,Оренбург,2022-12-26T09:41:19+0300
1359,Сервисный механик,90000.0,,RUR,Санкт-Петербург,2022-12-26T09:13:42+0300
1360,Системный инженер (Автозаводский район),,50000.0,RUR,Нижний Новгород,2022-12-26T09:39:45+0300
1361,Специалист со знанием Excel,50000.0,,RUR,Рязань,2022-12-26T09:54:46+0300
1362,Middle Project Manager,200000.0,320000.0,RUR,Москва,2022-12-26T09:11:23+0300
1363,Инженер поддержки в мониторинги,,,,Москва,2022-12-26T09:50:17+0300
1364,Дизайнер,2000000.0,5000000.0,UZS,Ташкент,2022-12-26T09:21:53+0300
1365,Дизайнер-полиграфист,40000.0,50000.0,RUR,Хабаровск,2022-12-26T09:31:21+0300
1366,Слесарь,115000.0,,RUR,Омск,2022-12-26T09:05:03+0300
1367,Менеджер программы лояльности,,,,Москва,2022-12-26T09:58:29+0300
1368,Системный администратор,50000.0,,RUR,Новороссийск,2022-12-26T09:33:21+0300
1369,Начальник отдела IT,92000.0,92000.0,RUR,Самара,2022-12-26T09:46:11+0300
1370,Исполнительный директор,80000.0,300000.0,RUR,Санкт-Петербург,2022-12-26T09:02:41+0300
1371,Go-разработчик,,,,Москва,2022-12-26T09:10:30+0300
1372,Программист 1С,200000.0,,RUR,Санкт-Петербург,2022-12-26T09:44:33+0300
1373,Главный специалист по развитию баз данных,125880.0,,RUR,Москва,2022-12-26T09:25:21+0300
1374,Помощник руководителя производства,,,,Нахабино,2022-12-26T09:32:57+0300
1375,Специалист технической поддержки Terrasoft CRM (Creatio),100000.0,150000.0,RUR,Москва,2022-12-26T09:40:40+0300
1376,Руководитель проекта,,,,Москва,2022-12-26T09:57:44+0300
1377,Frontend-разработчик,,,,Москва,2022-12-26T09:37:52+0300
1378,3D-моделлер,45000.0,,RUR,Екатеринбург,2022-12-26T09:11:37+0300
1379,Дизайнер презентаций (Стратегия),,,,Москва,2022-12-26T09:38:48+0300
1380,Разработчик C#,,,,Красноярск,2022-12-26T09:28:20+0300
1381,Менеджер по планированию производства,,,,Санкт-Петербург,2022-12-26T09:25:29+0300
1382,Frontend-разработчик (Сбол.Про),,,,Москва,2022-12-26T09:35:24+0300
1383,Аналитик BI,,,,Москва,2022-12-26T09:16:40+0300
1384,Монтажник слаботочных систем,91200.0,,RUR,Санкт-Петербург,2022-12-26T09:52:53+0300
1385,Менеджер в типографию,35000.0,45000.0,RUR,Краснодар,2022-12-26T09:17:19+0300
1386,Разработчик C#,150000.0,300000.0,RUR,Казань,2022-12-26T09:51:10+0300
1387,Product-менеджер,,,,Екатеринбург,2022-12-26T09:04:41+0300
1388,Специалист по маркировке,30000.0,,RUR,Барнаул,2022-12-26T09:33:36+0300
1389,Ведущий инженер-программист,46000.0,46500.0,RUR,Киров (Кировская область),2022-12-26T09:29:49+0300
1390,Системный администратор,50000.0,50000.0,RUR,Собинка,2022-12-26T09:14:05+0300
1391,Контент-менеджер (копирайтер),40000.0,45000.0,RUR,Москва,2022-12-26T09:12:08+0300
1392,"Разработчик Java, Платформа, Хранение и обработка данных",,,,Санкт-Петербург,2022-12-26T09:57:38+0300
1393,Руководитель IT проектов,130000.0,150000.0,RUR,Москва,2022-12-26T09:41:31+0300
1394,Специалист по продукту,40000.0,,RUR,Кемерово,2022-12-26T09:29:40+0300
1395,Оператор станка с ЧПУ,75000.0,95000.0,RUR,Казань,2022-12-26T09:27:05+0300
1396,Наладчик оборудования в производстве пищевой продукции,,,,Москва,2022-12-26T09:33:13+0300
1397,Системный администратор,,55000.0,RUR,Екатеринбург,2022-12-26T09:30:51+0300
1398,Оператор листогибочного пресса,63000.0,,RUR,Отрадное (Ленинградская область),2022-12-26T09:58:16+0300
1399,Менеджер по гарантийным обращениям (Удаленно),30000.0,60000.0,RUR,Саратов,2022-12-26T09:13:24+0300
1400,Начинающий специалист технической поддержки,45000.0,65000.0,RUR,Москва,2022-12-26T09:57:27+0300
1401,Тестировщик,,50000.0,RUR,Новосибирск,2022-12-26T09:57:22+0300
1402,SQL-аналитик,,,,Саранск,2022-12-26T09:43:01+0300
1403,Специалист по защите информации,,,,Санкт-Петербург,2022-12-26T09:11:34+0300
1404,Автор статей / Копирайтер / СЕО-копирайтер,40000.0,60000.0,RUR,Москва,2022-12-26T09:00:06+0300
1405,Токарь,45000.0,60000.0,RUR,Аксай (Ростовская область),2022-12-26T09:51:46+0300
1406,Менеджер интернет-сайта (табачная продукция) в офис,70000.0,,RUR,Ростов-на-Дону,2022-12-26T09:22:48+0300
1407,Frontend-разработчик (SberMomentum),,,,Москва,2022-12-26T09:36:13+0300
1408,Веб-разработчик,,,,Краснодар,2022-12-26T09:26:07+0300
1409,Системный администратор Linux\ DevOps (удаленка\ REMOTE),150000.0,,RUR,Москва,2022-12-26T09:09:12+0300
1410,Системный аналитик SAP,,,,Москва,2022-12-26T09:23:07+0300
1411,Менеджер по работе с CRM,,,,Алматы,2022-12-26T09:42:04+0300
1412,Middle BackEnd разработчик (Python),,,,Москва,2022-12-26T09:23:33+0300
1413,Оператор токарных станков-автоматов с ЧПУ,45000.0,50000.0,RUR,Екатеринбург,2022-12-26T09:12:57+0300
1414,Механик по эксплуатации (АТБУ),70000.0,,RUR,Белово,2022-12-26T09:15:16+0300
1415,Наладчик,80000.0,80000.0,RUR,Москва,2022-12-26T09:26:02+0300
1416,Инженер по безопасности дорожного движения,100000.0,120000.0,RUR,Ульяновск,2022-12-26T09:55:16+0300
1417,Инженер-схемотехник,80000.0,,RUR,Самара,2022-12-26T09:49:27+0300
1418,Оператор станков с ЧПУ,60000.0,65000.0,RUR,Тула,2022-12-26T09:09:02+0300
1419,Инженер-схемотехник,120000.0,150000.0,RUR,Казань,2022-12-26T09:29:30+0300
1420,Оператор станков с ПУ,58200.0,76100.0,RUR,Санкт-Петербург,2022-12-26T09:11:35+0300
1421,Инженер-механик,40000.0,40000.0,RUR,Владивосток,2022-12-26T09:34:13+0300
1422,Ученик оператора станков с ЧПУ,45000.0,,RUR,Санкт-Петербург,2022-12-26T09:38:59+0300
1423,Аналитик (Кадровый резерв),50000.0,60000.0,RUR,Краснодар,2022-12-26T09:10:26+0300
1424,Ведущий специалист по контролю товарного учета,,82000.0,RUR,Москва,2022-12-26T09:57:23+0300
1425,Копирайтер со знанием казахского языка,,,,Алматы,2022-12-26T09:50:52+0300
1426,Инженер-механик,,,,Актау,2022-12-26T09:39:42+0300
1427,Технический специалист,40000.0,80000.0,RUR,Пермь,2022-12-26T09:06:43+0300
1428,Главный механик,,,,Раменское,2022-12-26T09:52:13+0300
1429,Рабочий на мебельное производство (Обкатчик),55000.0,65000.0,RUR,Екатеринбург,2022-12-26T09:02:06+0300
1430,Аналитик по портфелю просроченной задолженности (SQL),,,,Москва,2022-12-26T09:31:17+0300
1431,Системный / Бизнес-аналитик,,,,Москва,2022-12-26T09:17:34+0300
1432,Менеджер по закупкам,85000.0,,RUR,Москва,2022-12-26T09:31:36+0300
1433,Cпециалист Service Desk,,,,Владивосток,2022-12-26T09:31:24+0300
1434,Аналитик,2000.0,,BYR,Минск,2022-12-26T09:11:12+0300
1435,Инженер по сопровождению АС,,,,Москва,2022-12-26T09:48:52+0300
1436,Системный администратор,55000.0,,RUR,Москва,2022-12-26T09:45:12+0300
1437,Менеджер проекта,400000.0,,KZT,Алматы,2022-12-26T09:42:58+0300
1438,Системный администратор,,,,Кострома,2022-12-26T09:01:32+0300
1439,Специалист службы поддержки (удаленно),35000.0,,RUR,Вологда,2022-12-26T09:59:06+0300
1440,Рабочий на металлообработку,40000.0,50000.0,RUR,Екатеринбург,2022-12-26T09:26:25+0300
1441,Разработчик мобильных приложений (Android),,,,Уфа,2022-12-26T09:48:46+0300
1442,Руководитель IT-проекта,,,,Москва,2022-12-26T09:17:19+0300
1443,Java developer (цифровые сервисы),,,,Москва,2022-12-26T09:35:28+0300
1444,Системный Аналитик,,,,Москва,2022-12-26T09:11:51+0300
1445,Сервисный инженер (механик),70000.0,,RUR,Тюмень,2022-12-26T09:29:46+0300
1446,Креативный копирайтер,70000.0,,RUR,Москва,2022-12-26T09:07:26+0300
1447,Старший Инженер-программист .NET Core,,,,Москва,2022-12-26T09:43:57+0300
1448,Инженер технической поддержки,45000.0,65000.0,RUR,Москва,2022-12-26T09:57:27+0300
1449,Администратор ИТ-проектов,,,,Рязань,2022-12-26T09:54:34+0300
1450,Инженер-механик,,,,Саратов,2022-12-26T09:33:42+0300
1451,Аналитик данных [id12587],,,,Санкт-Петербург,2022-12-26T09:21:41+0300
1452,Редактор в издательство детской литературы,55000.0,70000.0,RUR,Москва,2022-12-26T09:12:28+0300
1453,Бизнес-аналитик,300000.0,400000.0,KZT,Алматы,2022-12-26T09:52:53+0300
1454,Тестировщик,,,,Воронеж,2022-12-26T09:13:50+0300
1455,Инженер-программист (Разработчик ПО(206),,,,Нижний Новгород,2022-12-26T09:46:10+0300
1456,Специалист технической поддержки,,,,Москва,2022-12-26T09:18:16+0300
1457,Механик,120000.0,120000.0,RUR,Февральск (Амурская область),2022-12-26T09:58:29+0300
1458,Project manager (внедрение продукта),,,,Екатеринбург,2022-12-26T09:09:01+0300
1459,Специалист по бизнес-процессам F&B,,,,Екатеринбург,2022-12-26T09:37:21+0300
1460,Начальник отдела IT-сопровождения,138000.0,138000.0,RUR,Одинцово,2022-12-26T09:39:38+0300
1461,UX/UI дизайнер (в офис г. Краснодар),120000.0,,RUR,Краснодар,2022-12-26T09:10:59+0300
1462,Сервисный инженер,70000.0,100000.0,RUR,Мытищи,2022-12-26T09:07:43+0300
1463,Разработчик PHP Laravel,250000.0,,RUR,Москва,2022-12-26T09:23:49+0300
1464,Аналитик,,,,Владимир,2022-12-26T09:19:27+0300
1465,Инженер по тестированию,,75000.0,RUR,Москва,2022-12-26T09:47:58+0300
1466,Наладчик оборудования в производстве пищевой продукции,,,,Барнаул,2022-12-26T09:33:13+0300
1467,Developer С++ Junior,,,,Новосибирск,2022-12-26T09:57:18+0300
1468,Сборщик наладчик аппаратов и приборов,80000.0,,RUR,Москва,2022-12-26T09:41:11+0300
1469,Системный администратор (техническая поддержка),60000.0,70000.0,RUR,Краснодар,2022-12-26T09:11:00+0300
1470,Инженер слаботочных систем,45000.0,70000.0,RUR,Воронеж,2022-12-26T09:53:36+0300
1471,Копирайтер (SEO тексты),,,,Нижний Новгород,2022-12-26T09:33:27+0300
1472,Senior/Lead Frontend Developer (Vue.js),,,,Москва,2022-12-26T09:40:33+0300
1473,Java-developer (цифровая трансформация),,,,Москва,2022-12-26T09:35:43+0300
1474,Разработчик .Net / .Net developer,,,,Москва,2022-12-26T09:18:30+0300
1475,Инженер технической поддержки,,50000.0,RUR,Екатеринбург,2022-12-26T09:32:15+0300
1476,Системный администратор,,100000.0,RUR,Москва,2022-12-26T09:27:12+0300
1477,Наладчик станков с ЧПУ,90000.0,,RUR,Красноярск,2022-12-26T09:53:32+0300
1478,Тестировщик ПО (Python),,250000.0,RUR,Москва,2022-12-26T09:59:40+0300
1479,Технический менеджер,92000.0,92000.0,RUR,Санкт-Петербург,2022-12-26T09:11:05+0300
1480,DevOps Engineer,10000000.0,,UZS,Ташкент,2022-12-26T09:34:56+0300
1481,Главный механик,100000.0,,RUR,Москва,2022-12-26T09:37:22+0300
1482,Специалист по наладке и техническому сопровождению,280000.0,,KZT,Караганда,2022-12-26T09:49:43+0300
1483,Наладчик шлифовальных станков,80000.0,,RUR,Самара,2022-12-26T09:19:31+0300
1484,"Head of Infrastructure (DevOps, DBA)",,,,Санкт-Петербург,2022-12-26T09:53:51+0300
1485,Технический писатель,,,,Саранск,2022-12-26T09:43:31+0300
1486,Техник (Екатеринбург),44000.0,,RUR,Екатеринбург,2022-12-26T09:17:46+0300
1487,Java-разработчик,,,,Москва,2022-12-26T09:19:41+0300
1488,Наладчик оборудования в производстве пищевой продукции,,,,Махачкала,2022-12-26T09:33:13+0300
1489,Project Manager Junior,,,,Саранск,2022-12-26T09:43:19+0300
1490,Аналитик Бизнес-юнита управления клиентской базой,,,,Москва,2022-12-26T09:11:25+0300
1491,Оператор станков ЧПУ плазменной резки,52800.0,,RUR,Екатеринбург,2022-12-26T09:16:50+0300
1492,Android разработчик,,,,Москва,2022-12-26T09:02:19+0300
1493,Специалист по информационной безопасности (ведущий эксперт),45000.0,,RUR,Хабаровск,2022-12-26T09:40:33+0300
1494,Data Analyst (финансовый мониторинг),,,,Москва,2022-12-26T09:02:30+0300
1495,Системный аналитик,,,,Москва,2022-12-26T09:35:05+0300
1496,Разработчик алгоритмов компьютерного зрения,,,,Краснодар,2022-12-26T09:33:11+0300
1497,Ведущий специалист по управлению рисками и внутреннему контролю,,,,Череповец,2022-12-26T09:25:08+0300
1498,Специалист по безопасности дорожного движения,35000.0,,RUR,Пермь,2022-12-26T09:16:56+0300
1499,Системный администратор,50000.0,,RUR,Узловая,2022-12-26T09:32:46+0300
1500,Программист 1С,,,,Москва,2022-12-26T09:58:37+0300
1501,Оператор токарного станка с ЧПУ,73000.0,,RUR,Санкт-Петербург,2022-12-26T09:30:08+0300
1502,Ведущий аналитик,,,,Нижний Новгород,2022-12-26T09:46:36+0300
1503,Руководитель по клиентской аналитике,,,,Москва,2022-12-26T09:47:16+0300
1504,Дизайнер,,,,Подольск (Московская область),2022-12-26T09:56:22+0300
1505,Дизайнер-консультант,80000.0,150000.0,RUR,Санкт-Петербург,2022-12-26T09:59:44+0300
1506,Программист 1С,60000.0,,RUR,Санкт-Петербург,2022-12-26T09:17:11+0300
1507,Системный аналитик,,,,Москва,2022-12-26T09:54:24+0300
1508,Старший специалист по информационной безопасности,,,,Ярославль,2022-12-26T09:19:04+0300
1509,Инженер-электронщик,90000.0,,RUR,Москва,2022-12-26T09:25:47+0300
1510,Программист Java (SberMomentum),,,,Москва,2022-12-26T09:36:19+0300
1511,Проектный менеджер,100000.0,,RUR,Москва,2022-12-26T09:57:44+0300
1512,Аналитик Data Science (консультант),15.0,20.0,USD,Москва,2022-12-26T09:18:27+0300
1513,Системный администратор,50000.0,,RUR,Новомосковск (Тульская область),2022-12-26T09:32:46+0300
1514,Специалист технической поддержки,,,,Новосибирск,2022-12-26T09:41:39+0300
1515,Системный администратор,70000.0,,RUR,Москва,2022-12-26T09:20:45+0300
1516,Бизнес-аналитик,,,,Москва,2022-12-26T09:25:37+0300
1517,Специалист 2-й линии технической поддержки,60000.0,70000.0,RUR,Краснодар,2022-12-26T09:11:00+0300
1518,Специалист по аналитике базы данных,30000.0,,RUR,Киров (Кировская область),2022-12-26T09:14:41+0300
1519,Токарь на ДИП-300,100000.0,120000.0,RUR,Санкт-Петербург,2022-12-26T09:18:46+0300
1520,Ведущий пресейл-менеджер по видеонаблюдению и IoT,69000.0,,RUR,Рязань,2022-12-26T09:15:17+0300
1521,Электромеханик,,,,Санкт-Петербург,2022-12-26T09:05:52+0300
1522,Аналитик отдела продаж,,,,Москва,2022-12-26T09:51:41+0300
1523,Координатор проектов с функцией планирования (строительство),,,,Санкт-Петербург,2022-12-26T09:56:11+0300
1524,Инженер технической поддержки,65000.0,,RUR,Щелково,2022-12-26T09:13:16+0300
1525,Android разработчик,,,,Москва,2022-12-26T09:10:50+0300
1526,Системный инженер (SCCM),,,,Москва,2022-12-26T09:36:47+0300
1527,Токарь-универсал,120000.0,,RUR,Нижнекамск,2022-12-26T09:18:26+0300
1528,Начальник смены,,46410.0,RUR,Архангельск,2022-12-26T09:14:30+0300
1529,Data Scientist,,,,Бишкек,2022-12-26T09:21:49+0300
1530,Аналитик 1С (удаленная работа),100000.0,200000.0,RUR,Москва,2022-12-26T09:34:02+0300
1531,Системный администратор (г. Колпино),,70200.0,RUR,Санкт-Петербург,2022-12-26T09:28:12+0300
1532,Инженер по ГО и ЧС,,,,Домодедово,2022-12-26T09:16:25+0300
1533,Токарь на оборонное предприятие,,,,Москва,2022-12-26T09:36:52+0300
1534,Программист,75797.0,,RUR,Москва,2022-12-26T09:23:08+0300
1535,Оператор лазерного станка с ЧПУ,65000.0,,RUR,Санкт-Петербург,2022-12-26T09:56:34+0300
1536,Разработчик Python,,250000.0,RUR,Москва,2022-12-26T09:59:36+0300
1537,Инженер - наладчик КИПиА,,,,Северская станица,2022-12-26T09:41:50+0300
1538,Выездной инженер сервисного центра,85000.0,105000.0,RUR,Москва,2022-12-26T09:07:48+0300
1539,Инженер по эксплуатации базовых станций и транспортной сети,,,,Калуга,2022-12-26T09:58:00+0300
1540,Руководитель направления маркетплейсов / E-commerce,150000.0,250000.0,RUR,Москва,2022-12-26T09:35:14+0300
1541,Руководитель ИТ-проектов,,,,Санкт-Петербург,2022-12-26T09:00:18+0300
1542,Пресейл-менеджер по развитию облачных решений,120000.0,,RUR,Новосибирск,2022-12-26T09:15:17+0300
1543,Инженер-гидравлик,,,,Санкт-Петербург,2022-12-26T09:29:47+0300
1544,Наладчик термопластавтоматов,70000.0,80000.0,RUR,Ульяновск,2022-12-26T09:47:07+0300
1545,Специалист техподдержки / системный администратор,60000.0,70000.0,RUR,Домодедово,2022-12-26T09:36:18+0300
1546,"Корпоративный секретарь (проектный офис, корпоративное управление)",,,,Минск,2022-12-26T09:59:32+0300
1547,Специалист по информационной безопасности,,,,Старый Оскол,2022-12-26T09:55:58+0300
1548,Руководитель IT проектов / IT Project manager / PM,60000.0,,RUR,Москва,2022-12-26T09:00:13+0300
1549,Специалист поддержки 1С,,,,Москва,2022-12-26T09:31:49+0300
1550,Дизайнер интерьера,100000.0,500000.0,KZT,Астана,2022-12-26T09:56:27+0300
1551,Специалист предпечатной подготовки (prepress),65000.0,,RUR,Санкт-Петербург,2022-12-26T09:08:32+0300
1552,QA инженер (mobile),,,,Алматы,2022-12-26T09:11:27+0300
1553,Сервисный инженер (механик),50000.0,,RUR,Омск,2022-12-26T09:29:47+0300
1554,Системный администратор,40000.0,55000.0,RUR,Владимир,2022-12-26T09:13:56+0300
1555,Аналитик направления продуктового развития,,,,Санкт-Петербург,2022-12-26T09:51:51+0300
1556,Специалист технической поддержки (IT компания),,40000.0,RUR,Нижний Новгород,2022-12-26T09:56:28+0300
1557,Техник связи / Инженер,30000.0,,RUR,Луховицы,2022-12-26T09:42:00+0300
1558,Java-разработчик,,,,Саранск,2022-12-26T09:42:54+0300
1559,C++ developer,,,,Воронеж,2022-12-26T09:54:39+0300
1560,Старший сервисный инженер,26000.0,32000.0,RUR,Азов,2022-12-26T09:21:16+0300
1561,Закупщик-кладовщик,170000.0,200000.0,KZT,Алматы,2022-12-26T09:28:41+0300
1562,Программист C++/Qt (ГИС),,,,Москва,2022-12-26T09:33:01+0300
1563,Специалист по сопровождению и анализу данных,,,,Москва,2022-12-26T09:11:51+0300
