,name,salary_from,salary_to,salary_currency,area_name,published_at
67,Руководитель службы эксплуатации ЦОД (релокация),180000.0,,RUR,Иркутск,2022-12-26T03:28:49+0300
68,Сервисный инженер,150000.0,,RUR,Москва,2022-12-26T03:23:29+0300
69,Дизайнер,50000.0,55000.0,RUR,Владивосток,2022-12-26T03:10:43+0300
70,Главный механик (Хабаровск),130000.0,,RUR,Хабаровск,2022-12-26T03:56:01+0300
71,Контент-менеджер,45000.0,45000.0,RUR,Благовещенск (Амурская область),2022-12-26T03:11:56+0300
72,Руководитель проектов,40000.0,,RUR,Биробиджан,2022-12-26T03:31:07+0300
73,Специалист технической поддержки,30000.0,45000.0,RUR,Братск,2022-12-26T03:32:06+0300
74,Графический дизайнер на digital-макеты,,,,Санкт-Петербург,2022-12-26T03:15:22+0300
75,Токарь-универсал (АО СибЭР),60000.0,85000.0,RUR,Новосибирск,2022-12-26T03:15:07+0300
76,Токарь,30000.0,,RUR,Прокопьевск,2022-12-26T03:35:12+0300
77,Разработчик C#,80000.0,200000.0,RUR,Новосибирск,2022-12-26T03:23:20+0300
78,Программист 1С,90000.0,,RUR,Благовещенск (Амурская область),2022-12-26T03:02:39+0300
79,Менеджер по продлению договоров и сопровождению клиентов,55000.0,,RUR,Красноярск,2022-12-26T03:22:21+0300
80,Менеджер СМК (бизнес-аналитик),35000.0,,RUR,Биробиджан,2022-12-26T03:25:28+0300
81,Инженер-теплотехник/монтажник,60000.0,100000.0,RUR,Новосибирск,2022-12-26T03:55:51+0300
82,Оператор станка с ЧПУ лазерной и плазменной резки,50000.0,,RUR,Барнаул,2022-12-26T03:51:11+0300
83,Специалист личной поддержки Теле2,35000.0,45000.0,RUR,Иркутск,2022-12-26T03:53:24+0300
84,Руководитель транспортного отдела,50000.0,,RUR,Якутск,2022-12-26T03:54:48+0300
85,Оформитель торгового комплекса (д. Елино),45000.0,55000.0,RUR,Зеленоград,2022-12-26T03:19:32+0300
86,Фрезеровщик 5 разряда (АО СибЭР),65000.0,85000.0,RUR,Новосибирск,2022-12-26T03:18:47+0300
87,Токарь-расточник 5 разряда (АО СибЭР),70000.0,,RUR,Новосибирск,2022-12-26T03:18:05+0300
88,Middle программист 1С,150000.0,170000.0,RUR,Владивосток,2022-12-26T03:53:25+0300
89,Junior программист 1С,50000.0,80000.0,RUR,Владивосток,2022-12-26T03:54:05+0300
90,"Мастер сервисного центра, ТЦ Фортуна Гранд",32300.0,,RUR,Иркутск,2022-12-26T03:58:24+0300
91,Оформитель торгового комплекса,28800.0,31100.0,RUR,Челябинск,2022-12-26T03:19:44+0300
92,Оформитель торгового комплекса (улица Кузоваткина),39000.0,47000.0,RUR,Нижневартовск,2022-12-26T03:19:31+0300
93,Главный специалист отдела информационных технологий и связи,,,,Барнаул,2022-12-26T04:07:10+0300
94,Дизайнер,,,,Новосибирск,2022-12-26T04:17:13+0300
95,Дизайнер-иллюстратор,40000.0,,RUR,Красноярск,2022-12-26T04:52:19+0300
96,React - разработчик | React Developer в продукт,,,,Санкт-Петербург,2022-12-26T04:37:56+0300
97,DevOps / Системный администратор,40000.0,,RUR,Волгоград,2022-12-26T04:13:32+0300
98,Менеджер группы по операционной эффективности и цифровизации,,,,Междуреченск,2022-12-26T04:50:34+0300
99,Специалист по мониторингу систем спутникового слежения,,,,Краснообск,2022-12-26T04:48:38+0300
100,Механик на производстве,80000.0,,RUR,Усть-Илимск,2022-12-26T04:44:36+0300
101,Системный администратор,60000.0,60000.0,RUR,Иркутск,2022-12-26T04:09:44+0300
102,Разработчик C/C++,,,,Новосибирск,2022-12-26T04:18:07+0300
103,Сетевой администратор,60000.0,,RUR,Владивосток,2022-12-26T04:33:18+0300
104,Инженер сервисной службы,40000.0,70000.0,RUR,Красноярск,2022-12-26T04:56:15+0300
105,Механик на производстве,80000.0,,RUR,Братск,2022-12-26T04:45:32+0300
106,Менеджер группы по операционной эффективности и цифровизации,,,,Новосибирск,2022-12-26T04:50:28+0300
107,Менеджер группы по операционной эффективности и цифровизации,,,,Казань,2022-12-26T04:50:38+0300
108,Сервис-инженер промышленного оборудования,,,,Иркутск,2022-12-26T04:08:12+0300
109,Менеджер группы по операционной эффективности и цифровизации,,,,Новокузнецк,2022-12-26T04:50:13+0300
110,Специалист по составлению плана расстановки товар (м. Березовая роща),34000.0,43000.0,RUR,Новосибирск,2022-12-26T04:24:28+0300
111,Проектный менеджер,55000.0,115000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
112,Специалист нормативно-справочной информации,,,,Прокопьевск,2022-12-26T04:53:11+0300
113,"Специалист технической поддержки программного обеспечения (м. Березовая роща, улица Писарева, 175)",30000.0,,RUR,Новосибирск,2022-12-26T04:24:28+0300
114,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Челябинск,2022-12-26T04:53:04+0300
115,Специалист службы поддержки,45000.0,55000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
116,Специалист нормативно-справочной информации,,,,Новосибирск,2022-12-26T04:52:47+0300
117,Инженер-программист микроконтроллеров/разработчик IoT-устройств,,,,Новосибирск,2022-12-26T04:18:03+0300
118,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Санкт-Петербург,2022-12-26T04:53:04+0300
119,DevOps инженер,,,,Владивосток,2022-12-26T04:51:18+0300
120,Инженер-программист,60000.0,,RUR,Владивосток,2022-12-26T04:35:30+0300
121,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Екатеринбург,2022-12-26T04:53:04+0300
122,Инженер АСУ ТП,,,,Искитим,2022-12-26T04:53:32+0300
123,"Системный администратор (м. Березовая роща/ Писарева, 175)",,,,Новосибирск,2022-12-26T04:23:33+0300
124,Оператор станков ЧПУ,35000.0,50000.0,RUR,Красноярск,2022-12-26T04:56:02+0300
125,Механик на производстве,80000.0,,RUR,Усть-Кут,2022-12-26T04:46:07+0300
126,Токарь,20000.0,20000.0,RUR,Барнаул,2022-12-26T04:27:16+0300
127,Менеджер группы по операционной эффективности и цифровизации,,,,Прокопьевск,2022-12-26T04:50:30+0300
128,Токарь-фрезеровщик,40000.0,,RUR,Красноярск,2022-12-26T04:57:31+0300
129,Начальник проектного отдела,120000.0,,RUR,Кемерово,2022-12-26T04:39:01+0300
130,Арт-менеджер,,,,Красноярск,2022-12-26T04:52:20+0300
131,Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Удачный,2022-12-26T04:53:04+0300
132,Механик участка по ремонту оборудования,50000.0,,RUR,Искитим,2022-12-26T04:14:23+0300
133,Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Санкт-Петербург,2022-12-26T04:53:04+0300
134,Сервисный инженер центра инжинирингового сервиса (Айхальский ГОК),,,,Москва,2022-12-26T04:53:04+0300
135,Системный администратор Linux,,,,Владивосток,2022-12-26T04:51:23+0300
136,Руководитель автотранспортного предприятия,60000.0,80000.0,RUR,Красноярск,2022-12-26T04:52:18+0300
137,Токарь-расточник,,,,Новосибирск,2022-12-26T04:13:44+0300
138,Механик технологического оборудования,41200.0,,RUR,Искитим,2022-12-26T04:53:32+0300
139,Интегратор/разработчик Bitrix24,30000.0,,RUR,Иркутск,2022-12-26T04:57:32+0300
140,Старший мастер по обслуживанию абонентов,41000.0,,RUR,Ангарск,2022-12-26T04:06:58+0300
141,Фрезеровщик,,,,Барнаул,2022-12-26T04:17:03+0300
142,Механик/Специалист по БДД,45200.0,,RUR,Красноярск,2022-12-26T04:54:52+0300
143,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Воркута,2022-12-26T04:53:04+0300
144,Механик по сервису (Дистрибьютор строительной техники Сase),50000.0,160000.0,RUR,Новосибирск,2022-12-26T04:39:02+0300
145,Сетевой администратор,80000.0,,RUR,Владивосток,2022-12-26T04:51:12+0300
146,Инженер-руководитель по погрузо-разгрузочным работам,35000.0,50000.0,RUR,Омск,2022-12-26T04:10:40+0300
147,"Программист 1С в сеть магазинов ""КУЗЯ""",70000.0,,RUR,Омск,2022-12-26T04:10:39+0300
148,Токарь,63000.0,65000.0,RUR,Новокузнецк,2022-12-26T04:53:29+0300
149,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Кемерово,2022-12-26T04:53:04+0300
150,Сервисный инженер центра инжинирингового сервиса УГОК,,,,Удачный,2022-12-26T04:53:04+0300
151,Технический специалист,40000.0,,RUR,Красноярск,2022-12-26T04:48:30+0300
152,Менеджер группы по операционной эффективности и цифровизации,,,,Томск,2022-12-26T04:50:42+0300
153,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Мирный (Республика Саха (Якутия)),2022-12-26T04:53:04+0300
154,Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Иркутск,2022-12-26T04:53:04+0300
155,Техник ОПС,50000.0,50000.0,RUR,Красноярск,2022-12-26T04:52:19+0300
156,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Нижний Новгород,2022-12-26T04:53:04+0300
157,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Череповец,2022-12-26T04:53:04+0300
158,Директор парка,,,,Красноярск,2022-12-26T04:52:17+0300
159,Старший специалист по банковским картам,34000.0,,RUR,Владивосток,2022-12-26T04:47:15+0300
160,Сервисный инженер центра инжинирингового сервиса (Удачнинский ГОК),,,,Новокузнецк,2022-12-26T04:53:04+0300
161,Ведущий инженер-программист,90000.0,,RUR,Владивосток,2022-12-26T04:35:20+0300
162,Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Айхал,2022-12-26T04:53:04+0300
163,Сервисный инженер центра инжинирингового сервиса (Мирнинский ГОК),,,,Томск,2022-12-26T04:53:04+0300
164,Специалист по обучению 1С,70000.0,90000.0,RUR,Владивосток,2022-12-26T04:17:47+0300
165,Токарь,,,,Ачинск,2022-12-26T04:49:19+0300
166,Сервисный инженер центра инжинирингового сервиса Айхальский ГОК,,,,Кемерово,2022-12-26T04:53:04+0300
167,Директор ресторана,,,,Красноярск,2022-12-26T04:52:18+0300
168,HTML-верстальщик (Новосибирск),40000.0,,RUR,Новосибирск,2022-12-26T05:22:33+0300
169,Дизайнер,,34500.0,KGS,Бишкек,2022-12-26T05:27:22+0300
170,Графический дизайнер,30000.0,35000.0,RUR,Кемерово,2022-12-26T05:48:18+0300
171,Главный специалист (Пресс-служба),70000.0,,RUR,Омск,2022-12-26T05:22:17+0300
172,Специалист технической поддержки информационных систем,,45000.0,RUR,Барнаул,2022-12-26T05:49:01+0300
173,Junior project manager в web-студию,45000.0,70000.0,RUR,Москва,2022-12-26T05:07:13+0300
174,Системный администратор,,,,Новосибирск,2022-12-26T05:36:15+0300
175,Продуктовый аналитик,80000.0,,RUR,Новосибирск,2022-12-26T05:33:13+0300
176,SQL-разработчик,140000.0,,RUR,Новосибирск,2022-12-26T05:37:38+0300
177,Системный администратор,50000.0,,RUR,Новосибирск,2022-12-26T05:24:50+0300
178,Продуктовый аналитик,80000.0,,RUR,Томск,2022-12-26T05:33:15+0300
179,Специалист-аналитик,35000.0,35000.0,RUR,Красноярск,2022-12-26T05:47:22+0300
180,Системный администратор,55000.0,,RUR,Барнаул,2022-12-26T05:41:45+0300
181,Менеджер строительного проекта,,,,Хабаровск,2022-12-26T05:27:20+0300
182,Инженер-программист,,,,Москва,2022-12-26T05:41:19+0300
183,Программист Python,,,,Новосибирск,2022-12-26T05:22:23+0300
184,Менеджер строительного проекта,,,,Владивосток,2022-12-26T05:27:20+0300
185,Контролёр технического состояния транспортных средств,45000.0,45000.0,RUR,Новосибирск,2022-12-26T05:23:42+0300
186,Аккаунт-менеджер / BDM / по рекламодателям CPA / affiliate,,,,Москва,2022-12-26T05:51:32+0300
187,Оператор станка с ЧПУ,45000.0,60000.0,RUR,Новосибирск,2022-12-26T05:37:20+0300
188,Менеджер продукта,,,,Новосибирск,2022-12-26T05:52:21+0300
189,Рабочий по обслуживанию зданий и сооружений (Амурский поселок),,,,Омск,2022-12-26T05:51:18+0300
190,Консультант 1C,,45000.0,RUR,Барнаул,2022-12-26T05:49:00+0300
191,Ведущий системный администратор,110000.0,130000.0,RUR,Владивосток,2022-12-26T05:19:10+0300
192,Специалист технической поддержки второй линии,,,,Новосибирск,2022-12-26T05:09:01+0300
193,Техник связи,,,,Норильск,2022-12-26T05:57:03+0300
194,"Монтажник слаботочных систем (охранно-пожарная сигнализация, видеонаблюдение, г.Темиртау)",250000.0,250000.0,KZT,Темиртау,2022-12-26T05:03:54+0300
195,Мастер по ремонту компьютеров,50000.0,150000.0,RUR,Чита,2022-12-26T05:20:53+0300
196,Системный администратор,70000.0,,RUR,Владивосток,2022-12-26T05:30:16+0300
197,Java разработчик (Middle/Senior),200000.0,,RUR,Новосибирск,2022-12-26T05:33:24+0300
198,Инженер-программист АСУ,75000.0,,RUR,Новосибирск,2022-12-26T05:13:48+0300
199,Технический писатель,,,,Новосибирск,2022-12-26T05:37:20+0300
200,Маркетолог-аналитик,,,,Владивосток,2022-12-26T05:37:42+0300
201,Руководитель отдела продуктового дизайна,,,,Иркутск,2022-12-26T05:58:28+0300
202,Автор по информационной безопасности,,50000.0,RUR,Москва,2022-12-26T05:31:43+0300
203,Разработчик ‎Android,,380000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
204,"Сервис-менеджер, г. Славгород",25000.0,25000.0,RUR,Славгород (Алтайский край),2022-12-26T05:16:34+0300
205,Руководитель проекта,,,,Алматы,2022-12-26T05:48:56+0300
206,Бизнес-аналитик,,,,Москва,2022-12-26T05:50:59+0300
207,Инженер электросвязи,36000.0,,RUR,Тында,2022-12-26T05:00:14+0300
208,Бизнес-аналитик,150000.0,,RUR,Москва,2022-12-26T05:15:52+0300
209,Токарь,35000.0,,RUR,Омск,2022-12-26T05:30:58+0300
210,Токарь,300000.0,300000.0,KZT,Усть-Каменогорск,2022-12-26T05:23:34+0300
211,Монтажник систем пожарной сигнализации и оповещения людей о пожаре,45000.0,75000.0,RUR,Новосибирск,2022-12-26T05:23:55+0300
212,Техник по обслуживанию кафе,50000.0,50000.0,RUR,Новосибирск,2022-12-26T05:04:02+0300
213,Actuary,,,,Астана,2022-12-26T05:11:01+0300
214,Менеджер по проектам,60000.0,,RUR,Красноярск,2022-12-26T05:03:30+0300
215,Аналитик отдела продаж,45000.0,45000.0,RUR,Новосибирск,2022-12-26T05:26:19+0300
216,Пишущий редактор в IT,,,,Омск,2022-12-26T05:22:17+0300
217,Оператор технической поддержки,27000.0,32000.0,RUR,Красноярск,2022-12-26T05:41:47+0300
218,Фрезеровщик на гидрофрезерный станок,40000.0,55000.0,RUR,Омск,2022-12-26T05:56:21+0300
219,Middle QA Mobile Engineer Android/iOS,45000.0,70000.0,RUR,Новосибирск,2022-12-26T05:22:33+0300
220,Руководитель службы заказчика (жилищное строительство),,,,Новосибирск,2022-12-26T05:16:02+0300
221,Руководитель отдела продуктового дизайна,,,,Красноярск,2022-12-26T05:59:56+0300
222,QA Automation,,,,Санкт-Петербург,2022-12-26T05:46:02+0300
223,Главный специалист,54000.0,,RUR,Екатеринбург,2022-12-26T05:10:57+0300
224,Java программист / Java developer,,,,Новосибирск,2022-12-26T05:20:02+0300
225,DevOps-инженер,,,,Новосибирск,2022-12-26T05:59:00+0300
